Species,Scientific Name, Common Name,Sex,N,Mean,S.D.,Min,Max, Season,Location ,Source #
Accipiter meyerianus,Accipiter meyerianus,Meyer's Goshawk,M,1,530,,,,,Papua New Guinea,268
Accipiter meyerianus,Accipiter meyerianus,Meyer's Goshawk,F,1,1100,,,,,,
Erythrotriorchis buergersi,Erythrotriorchis buergersi,Chestnut-shouldered Goshawk,M,1,575,,,,,Papua New Guinea,268
Erythrotriorchis radiatus,Erythrotriorchis radiatus,Red Goshawk,M,2,635,,630,640,,,746
Erythrotriorchis radiatus,Erythrotriorchis radiatus,Red Goshawk,F,2,1240,,1110,1370,,,
Megatriorchis doriae,Megatriorchis doriae,Doria's Goshawk,F,1,1000,,,,,,358
Urotriorchis macrourus,Urotriorchis macrourus,Long-tailed Hawk,M,1,492,,,,,,139
Butastur rufipennis,Butastur rufipennis,Grasshopper Buzzard,M, ,326,,310,342,,Ivory Coast,1213
Butastur rufipennis,Butastur rufipennis,Grasshopper Buzzard,F,,344,,300,383,,,
Butastur teesa,Butastur teesa,White-eyed Buzzard,U,1,325,, , ,,,358
Butastur liventer,Butastur liventer,Rufous-winged Buzzard,U, , ,,336,340,,,358
Butastur indicus,Butastur indicus,Gray-faced Buzzard,M,4,397,,375,433,,,"138, 400"
Butastur indicus,Butastur indicus,Gray-faced Buzzard,F,,433,,,,,,
Geranospiza caerulescens,Geranospiza caerulescens,Crane Hawk,M,5,279,,230,325,,Panama; Suriname,"489, 498"
Geranospiza caerulescens,Geranospiza caerulescens,Crane Hawk,F,7,328,,273,430,,,
Leucopternis plumbeus,Leucopternis plumbeus,Plumbeous Hawk,U,1,482,,,,,Panama,615
Leucopternis schistaceus,Leucopternis schistaceus,Slate-colored Hawk,F,1,1000,,,,,,138
Leucopternis princeps,Leucopternis princeps,Barred Hawk,F,1,1000,,,,,NW Ecuador,1147
Leucopternis melanops,Leucopternis melanops,Black-faced Hawk,M,6,312,,297,329,,,"138, 498"
